Date,UBSFY,EA,TTWO,,FTSE,,ATVI,NTDOY,SNE
2020/2/24,16.18,107.029999,113.019997,,7156.799805,,62.310001,43.169998,63.93
2020/2/25,15.46,105.379997,110.970001,,7017.899902,,59.509998,43.389999,63.580002
2020/2/26,15.57,106.540001,109.470001,,7042.5,,59.369999,43.849998,63.939999
2020/2/27,14.84,102.739998,107.839996,,6796.399902,,58.330002,42.540001,60.889999
2020/2/28,14.96,101.370003,107.480003,,6580.600098,,58.130001,41.98,62.200001
2020/3/2,15.04,106.889999,112.059998,,6654.899902,,60.59,43.23,64.160004
2020/3/3,15.15,106.699997,111.220001,,6718.200195,,58.75,42.540001,63.18
2020/3/4,15.55,111.830002,119.419998,,6815.600098,,62.549999,43.790001,64.790001
2020/3/5,15.43,110.209999,117.269997,,6705.399902,,61.52,43.759998,63.439999
2020/3/6,14.89,107.669998,117.690002,,6462.600098,,59.970001,43.880001,63.119999
2020/3/9,13.82,100.93,113.879997,,5965.799805,,57.349998,42.400002,58.529999
2020/3/10,14.45,103.379997,118.75,,5960.200195,,60.709999,43.490002,60.330002
2020/3/11,13.76,101.18,119.050003,,5876.5,,59.330002,41.529999,57.790001
2020/3/12,12.41,93.349998,108.360001,,5237.5,,54.560001,38.919998,52.57
2020/3/13,12.94,97.059998,116.620003,,5366.100098,,59.040001,39.700001,56.32
2020/3/16,13.04,88.669998,108.010002,,5151.100098,,52.759998,37.959999,51.68
2020/3/17,14.34,95.410004,116.470001,,5294.899902,,56.16,41.02,55.200001
2020/3/18,13.02,90.209999,106.620003,,5080.600098,,55.59,40.709999,54.790001
2020/3/19,12.51,90.059998,106.360001,,5151.600098,,54.130001,43.849998,55.400002
2020/3/20,12.66,86.940002,100.150002,,5190.799805,,52.049999,43.509998,53.060001
2020/3/23,12.87,95.470001,109.82,,4993.899902,,56.470001,42.98,52.900002
2020/3/24,13.7,94.300003,112.220001,,5446,,54.43,44.639999,57
2020/3/25,13.56,89.639999,109.720001,,5688.200195,,52.869999,43.810001,57.68
2020/3/26,14.56,99.199997,115.25,,5815.700195,,57.720001,45.860001,60.5
2020/3/27,14.77,95.370003,111.699997,,5510.299805,,56.959999,45.689999,59.32
2020/3/30,15,97.690002,118.510002,,5563.700195,,58.470001,48.139999,60.169998
2020/3/31,14.57,100.169998,118.610001,,5672,,59.48,48.279999,59.18
2020/4/1,14.5,97.529999,116.330002,,5454.600098,,57.5,48.450001,56.849998
2020/4/2,14.98,102.290001,119.510002,,5480.200195,,60.779999,48.5,58.91
2020/4/3,15.18,102.830002,118.489998,,5415.5,,59.98,48.040001,57.48
2020/4/6,15.11,106.510002,121.290001,,5582.399902,,61.599998,50.09,60.869999
