code,date,open,high,close,low,volume
000001,2015-08-03,12.2,12.85,12.82,12.15,1405122.75
000001,2015-08-04,12.77,12.99,12.86,12.59,774937.56
000001,2015-08-05,12.8,12.95,12.59,12.57,551802.38
000001,2015-08-06,12.5,12.73,12.53,12.43,450218.44
000001,2015-08-07,12.61,12.72,12.61,12.54,622010.31
000001,2015-08-10,12.66,12.99,12.92,12.55,1053112.0
000001,2015-08-11,12.91,12.95,12.84,12.79,828493.38
000001,2015-08-12,12.69,12.77,12.57,12.56,686822.06
000001,2015-08-13,12.51,12.67,12.57,12.42,606344.44
000001,2015-08-14,12.69,12.75,12.64,12.58,823789.31
000001,2015-08-17,12.61,12.69,12.54,12.45,679642.56
000001,2015-08-18,12.5,12.74,12.27,11.95,1176324.38
000001,2015-08-19,12.1,12.23,12.23,11.9,958894.25
000001,2015-08-20,12.17,12.17,12.05,11.9,677634.38
000001,2015-08-21,11.9,11.99,11.5,11.46,933367.81
000001,2015-08-24,11.1,11.17,10.35,10.35,1518029.62
000001,2015-08-25,9.85,10.35,9.46,9.32,2192333.75
000001,2015-08-26,9.6,10.23,9.91,9.3,2491919.5
000001,2015-08-27,10.16,10.9,10.8,9.86,1849235.62
000001,2015-08-28,10.89,11.09,10.83,10.55,1608029.75
000001,2015-08-31,10.71,11.07,11.07,10.48,1464297.25
000001,2015-09-01,10.9,11.61,11.57,10.61,2657661.25
000001,2015-09-02,11.18,12.0,11.84,11.06,2815746.75
000001,2015-09-07,11.55,11.56,10.89,10.89,1376110.62
000001,2015-09-08,10.88,11.15,11.0,10.59,747292.44
000001,2015-09-09,11.03,11.19,11.1,10.88,851073.88
000001,2015-09-10,11.0,11.18,11.05,10.94,465205.62
000001,2015-09-11,11.02,11.12,10.96,10.88,426450.78
000001,2015-09-14,10.99,11.0,10.87,10.45,756452.75
000001,2015-09-15,10.69,10.85,10.57,10.5,542839.0
000001,2015-09-16,10.59,11.08,10.9,10.52,569243.75
000001,2015-09-17,10.85,11.14,10.77,10.77,620798.56
000001,2015-09-18,10.84,10.96,10.81,10.73,318272.81
000001,2015-09-21,10.7,10.89,10.82,10.65,386111.12
000001,2015-09-22,10.83,11.06,10.96,10.82,492955.59
000001,2015-09-23,10.86,10.91,10.7,10.68,371150.84
000001,2015-09-24,10.76,10.81,10.71,10.67,258632.55
000001,2015-09-25,10.69,10.71,10.55,10.45,446420.59
000001,2015-09-28,10.56,10.59,10.53,10.43,199087.27
000001,2015-09-29,10.45,10.56,10.38,10.32,333603.56
000001,2015-09-30,10.4,10.59,10.49,10.39,364659.72
000001,2015-10-07,10.53,11.54,11.54,10.52,32440.99
000001,2015-10-08,10.85,10.89,10.7,10.7,494070.84
000001,2015-10-09,10.75,10.95,10.9,10.72,474612.06
000001,2015-10-12,10.96,11.38,11.23,10.91,849665.12
000001,2015-10-13,11.2,11.26,11.13,11.09,359798.19
000001,2015-10-14,11.04,11.15,10.98,10.94,418980.66
000001,2015-10-15,10.95,11.17,11.17,10.94,485900.5
000001,2015-10-16,11.21,11.3,11.23,11.16,570001.44
000001,2015-10-19,11.27,11.35,11.26,11.15,723371.5
000001,2015-10-20,11.2,11.38,11.32,11.19,715163.25
000001,2015-10-21,11.29,11.75,11.22,11.18,1332629.0
000001,2015-10-22,11.25,11.4,11.33,11.18,822805.75
000001,2015-10-23,11.39,11.53,11.47,11.34,937425.12
000001,2015-10-26,11.6,11.81,11.52,11.44,1085917.5
000001,2015-10-27,11.5,11.64,11.48,11.34,580436.38
000001,2015-10-28,11.46,11.48,11.27,11.25,544811.19
000001,2015-10-29,11.3,11.36,11.27,11.25,316703.69
000001,2015-10-30,11.3,11.42,11.36,11.27,535930.75
000001,2015-11-02,11.27,11.32,11.14,11.1,484435.81
000001,2015-11-03,11.15,11.21,11.05,11.01,391265.19
000001,2015-11-04,11.08,11.7,11.69,11.05,1307244.25
000001,2015-11-05,11.6,12.57,12.07,11.55,2292189.75
000001,2015-11-06,12.02,12.41,12.39,11.92,1463195.0
000001,2015-11-09,12.5,13.38,12.94,12.46,2413887.75
000001,2015-11-10,12.8,13.07,12.75,12.61,1125027.62
000001,2015-11-11,12.7,12.78,12.55,12.38,1021735.06
000001,2015-11-12,12.6,12.65,12.4,12.28,671139.62
000001,2015-11-13,12.22,12.48,12.24,12.19,587555.06
000001,2015-11-16,12.13,12.39,12.34,12.09,559848.69
000001,2015-11-17,12.41,12.7,12.5,12.36,1046486.56
000001,2015-11-18,12.46,12.7,12.42,12.31,793704.75
000001,2015-11-19,12.4,12.51,12.5,12.33,471120.66
000001,2015-11-20,12.5,12.59,12.55,12.42,598036.31
000001,2015-11-23,12.55,12.6,12.45,12.38,607975.31
000001,2015-11-24,12.41,12.45,12.28,12.16,664214.75
000001,2015-11-25,12.21,12.37,12.32,12.17,513462.72
000001,2015-11-26,12.36,12.38,12.23,12.2,552210.12
000001,2015-11-27,12.18,12.2,11.73,11.53,728025.94
000001,2015-11-30,11.72,11.87,11.74,11.5,658493.88
000001,2015-12-01,11.7,11.86,11.75,11.51,680253.88
000001,2015-12-02,11.7,12.64,12.51,11.66,1615760.88
000001,2015-12-03,12.39,12.75,12.45,12.25,1425976.75
000001,2015-12-04,12.31,12.38,12.12,12.08,764532.44
000001,2015-12-07,12.18,12.25,12.15,12.04,402792.66
000001,2015-12-08,12.07,12.09,11.96,11.9,503101.78
000001,2015-12-09,11.92,12.12,11.99,11.9,429384.34
000001,2015-12-10,11.95,12.14,11.96,11.91,417603.59
000001,2015-12-11,11.91,11.92,11.83,11.73,379508.03
000001,2015-12-14,11.73,12.11,12.07,11.71,587236.62
000001,2015-12-15,12.03,12.09,11.92,11.86,364487.34
000001,2015-12-16,11.98,12.01,11.89,11.88,392762.81
000001,2015-12-17,11.97,12.14,12.07,11.96,648274.75
000001,2015-12-18,12.03,12.55,12.23,12.02,1022944.75
000001,2015-12-21,12.14,12.72,12.51,12.11,1281142.12
000001,2015-12-22,12.5,12.62,12.43,12.38,698091.44
000001,2015-12-23,12.47,12.78,12.48,12.4,1039018.25
000001,2015-12-24,12.46,12.56,12.34,12.24,640229.62
000001,2015-12-25,12.38,12.47,12.41,12.33,399845.06
000001,2015-12-28,12.43,12.46,11.98,11.98,822408.62
000001,2015-12-29,11.99,12.1,12.09,11.97,619802.12
000001,2015-12-30,12.09,12.11,12.1,11.95,532667.06
000001,2015-12-31,12.1,12.13,11.99,11.98,491258.91
000001,2016-01-04,12.0,12.03,11.33,11.23,563497.88
000001,2016-01-05,11.27,11.57,11.4,11.15,663269.94
000001,2016-01-06,11.42,11.56,11.53,11.39,515706.44
000001,2016-01-07,11.41,11.41,10.94,10.91,174761.09
000001,2016-01-08,11.21,11.29,11.12,10.9,747527.56
000001,2016-01-11,11.0,11.08,10.76,10.68,732014.0
000001,2016-01-12,10.83,10.91,10.81,10.64,561642.31
000001,2016-01-13,10.89,10.94,10.71,10.7,391709.47
000001,2016-01-14,10.59,10.8,10.77,10.48,666314.56
000001,2016-01-15,10.66,10.8,10.46,10.42,448202.12
000001,2016-01-18,10.34,10.56,10.41,10.3,421040.88
000001,2016-01-19,10.45,10.78,10.71,10.41,501109.09
000001,2016-01-20,10.7,10.8,10.54,10.44,603752.5
000001,2016-01-21,10.48,10.75,10.32,10.32,606145.12
000001,2016-01-22,10.4,10.45,10.4,10.22,466752.12
000001,2016-01-25,10.4,10.44,10.37,10.33,376431.72
000001,2016-01-26,10.32,10.32,9.87,9.86,647901.12
000001,2016-01-27,9.93,9.98,9.88,9.6,569037.06
000001,2016-01-28,9.82,9.89,9.69,9.65,302540.78
000001,2016-01-29,9.74,10.08,10.0,9.69,544435.75
000001,2016-02-01,9.98,10.01,9.8,9.74,417732.12
000001,2016-02-02,9.8,10.03,9.95,9.78,369104.16
000001,2016-02-03,9.85,9.89,9.85,9.77,274572.16
000001,2016-02-04,9.89,10.0,9.95,9.88,373099.47
000001,2016-02-05,9.96,9.97,9.92,9.91,270893.34
000001,2016-02-15,9.66,9.85,9.79,9.65,278499.47
000001,2016-02-16,9.84,10.03,10.01,9.83,428386.38
000001,2016-02-17,10.03,10.22,10.15,9.99,585167.06
000001,2016-02-18,10.18,10.22,10.09,10.09,406178.25
000001,2016-02-19,10.09,10.14,10.04,9.99,318898.25
000001,2016-02-22,10.13,10.31,10.29,10.06,617739.44
000001,2016-02-23,10.29,10.29,10.12,10.05,425874.38
000001,2016-02-24,10.06,10.15,10.15,10.01,300103.59
000001,2016-02-25,10.12,10.13,9.67,9.6,622072.81
000001,2016-02-26,9.77,9.83,9.79,9.66,392154.41
000001,2016-02-29,9.79,9.81,9.56,9.42,566896.38
000001,2016-03-01,9.62,9.77,9.7,9.58,377910.81
000001,2016-03-02,9.75,10.13,10.1,9.72,676613.75
000001,2016-03-03,10.09,10.18,10.11,10.04,553089.38
000001,2016-03-04,10.09,10.5,10.4,10.07,1381249.12
000001,2016-03-07,10.35,10.49,10.34,10.3,606353.0
000001,2016-03-08,10.36,10.36,10.28,9.94,643156.44
000001,2016-03-09,10.14,10.22,10.17,10.04,325900.66
000001,2016-03-10,10.24,10.35,10.15,10.13,474020.31
000001,2016-03-11,10.1,10.22,10.16,10.04,383736.72
000001,2016-03-14,10.21,10.46,10.26,10.21,655158.25
000001,2016-03-15,10.28,10.36,10.32,10.16,417920.38
000001,2016-03-16,10.27,10.45,10.35,10.25,664886.19
000001,2016-03-17,10.36,10.48,10.42,10.3,610996.38
000001,2016-03-18,10.42,10.57,10.54,10.4,797215.81
000001,2016-03-21,10.55,10.86,10.8,10.55,920432.81
000001,2016-03-22,10.77,10.94,10.72,10.69,625482.5
000001,2016-03-23,10.71,10.77,10.7,10.61,430278.16
000001,2016-03-24,10.61,10.63,10.52,10.5,372406.25
000001,2016-03-25,10.51,10.6,10.59,10.5,237070.48
000001,2016-03-28,10.62,10.65,10.48,10.45,358621.0
000001,2016-03-29,10.51,10.52,10.43,10.38,318317.88
000001,2016-03-30,10.48,10.7,10.7,10.47,539700.0
000001,2016-03-31,10.71,10.75,10.64,10.64,418387.91
000001,2016-04-01,10.62,10.69,10.66,10.5,369341.88
000001,2016-04-05,10.62,10.81,10.7,10.5,592308.62
000001,2016-04-06,10.68,10.75,10.72,10.61,435259.53
000001,2016-04-07,10.72,10.73,10.59,10.59,377719.59
000001,2016-04-08,10.55,10.67,10.57,10.5,376553.88
000001,2016-04-11,10.6,10.8,10.72,10.6,786386.0
