code	name	weight
603993	洛阳钼业	0.4
601989	中国重工	1.08
601988	中国银行	1.79
601985	中国核电	0.64
601881	中国银河	0.14
601878	浙商证券	0.12
601857	中国石油	1.08
601818	光大银行	1.39
601800	中国交建	0.4
601766	中国中车	1.66
601688	华泰证券	1.22
601669	中国电建	0.64
601668	中国建筑	2.87
601628	中国人寿	0.94
601601	中国太保	2.34
601398	工商银行	2.93
601390	中国中铁	0.88
601336	新华保险	0.93
601328	交通银行	3.48
601318	中国平安	15.48
601288	农业银行	3.11
601229	上海银行	0.25
601211	国泰君安	1.41
601186	中国铁建	1
601169	北京银行	2.05
601166	兴业银行	4.14
601088	中国神华	0.9
601006	大秦铁路	1.09
600999	招商证券	0.81
600958	东方证券	0.81
600919	江苏银行	1.03
600887	伊利股份	3.91
600837	海通证券	2.07
600606	绿地控股	0.65
600547	山东黄金	0.44
600519	贵州茅台	7.06
600518	康美药业	1.16
600340	华夏幸福	0.94
600309	万华化学	0.94
600111	北方稀土	0.58
600104	上汽集团	2.16
600050	中国联通	1.15
600048	保利地产	2.29
600036	招商银行	6.37
600030	中信证券	3.03
600029	南方航空	0.67
600028	中国石化	1.34
600019	宝钢股份	1.48
600016	民生银行	3.96
600000	浦发银行	2.75
