date,1m
20061008,2.5319
20061009,2.5522
20061010,2.5739
20061011,2.5864
20061012,2.59
20061013,2.6045
20061016,2.6105
20061017,2.6132
20061018,2.6159
20061019,2.6163
20061020,2.6167
20061023,2.6166
20061024,2.6165
20061025,2.6163
20061026,2.6164
20061027,2.6168
20061030,2.6167
20061031,2.6167
20061101,2.6169
20061102,2.6169
20061103,2.6175
20061106,2.6383
20061107,2.7035
20061108,2.7755
20061109,2.9507
20061110,3.0836
20061113,3.1794
20061114,3.2335
20061115,3.2342
20061116,3.2601
20061117,3.2583
20061120,3.3086
20061121,3.3874
20061122,3.4155
20061123,3.3651
20061124,3.314
20061127,3.2448
20061128,3.1356
20061129,3.1259
20061130,3.0847
20061201,3.016
20061204,2.838
20061205,2.754
20061206,2.7291
20061207,2.7141
20061208,2.6656
20061211,2.627
20061212,2.59
20061213,2.5809
20061214,2.5723
20061215,2.5767
20061218,2.5717
20061219,2.5699
20061220,2.5696
20061221,2.5703
20061222,2.573
20061225,2.5712
20061226,2.5672
20061227,2.5802
20061228,2.5832
20061229,2.5852
20061230,2.5848
20061231,2.5833
20070104,2.5774
20070105,2.5717
20070108,2.5588
20070109,2.5572
20070110,2.5463
20070111,2.5343
20070112,2.5254
20070115,2.5207
20070116,2.5168
20070117,2.5167
20070118,2.5171
20070119,2.5173
20070122,2.518
20070123,2.518
20070124,2.5184
20070125,2.5185
20070126,2.5186
20070129,2.5194
20070130,2.5195
20070131,2.5196
20070201,2.5236
20070202,2.5286
20070205,2.6652
20070206,2.8405
20070207,3.0862
20070208,3.266
20070209,3.6175
20070212,4.0491
20070213,4.0089
20070214,3.9566
20070215,3.162
20070216,2.8076
20070217,2.6557
20070225,2.7036
20070226,2.6964
20070227,2.6891
20070228,2.5326
20070301,2.4624
20070302,2.4225
20070305,2.3073
20070306,2.2561
20070307,2.26
20070308,2.2615
20070309,2.2616
20070312,2.2587
20070313,2.2498
20070314,2.227
20070315,2.2302
20070316,2.2503
20070319,2.3381
20070320,2.3896
20070321,2.411
20070322,2.4212
20070323,2.4365
20070326,2.4588
20070327,2.4983
20070328,2.5819
20070329,2.6427
20070330,2.6809
20070402,2.6955
20070403,2.7075
20070404,2.7333
20070405,2.7559
20070406,2.8552
20070409,2.9228
20070410,2.9863
20070411,3.0406
20070412,3.0465
20070413,3.0815
20070416,3.3444
20070417,3.4674
20070418,3.7489
20070419,4.197
20070420,4.33
20070423,4.4014
20070424,4.4443
20070425,4.3539
20070426,4.1441
20070427,3.8855
20070428,2.9779
20070429,2.7349
20070430,2.5498
20070508,2.6505
20070509,2.7114
20070510,2.77
20070511,3.0365
20070514,3.176
20070515,3.14
20070516,3.1272
20070517,3.0121
20070518,2.9143
20070521,2.973
20070522,2.999
20070523,3.0109
20070524,3.0169
20070525,3.0193
20070528,3.0141
20070529,3.0144
20070530,3.0177
20070531,3.0327
20070601,3.0357
20070604,3.0444
20070605,3.0399
20070606,3.0316
20070607,2.9691
20070608,2.973
20070611,2.9713
20070612,2.9938
20070613,3.0056
20070614,3.034
20070615,3.0495
20070618,3.1327
20070619,3.1336
20070620,3.1271
20070621,3.0932
20070622,3.0729
20070625,3.0617
20070626,3.0051
20070627,2.9985
20070628,2.9996
20070629,3.0502
20070702,3.0808
20070703,3.0706
20070704,3.0354
20070705,3.0262
20070706,3.093
20070709,3.1432
20070710,3.2286
20070711,3.266
20070712,3.239
20070713,3.2419
20070716,3.2539
20070717,3.1797
20070718,3.0513
20070719,3.0203
20070720,3.0105
20070723,3.0155
20070724,3.0184
20070725,3.0015
20070726,2.9941
20070727,2.9719
20070730,2.9758
20070731,2.9778
20070801,2.9768
20070802,2.9689
20070803,2.9537
20070806,2.9092
20070807,2.8805
20070808,2.8678
20070809,2.8613
20070810,2.8564
20070813,2.8387
20070814,2.8255
20070815,2.8194
20070816,2.8077
20070817,2.809
20070820,2.8073
20070821,2.7686
20070822,2.815
20070823,2.7979
20070824,2.7709
20070827,2.6983
20070828,2.751
20070829,2.824
20070830,2.8587
20070831,2.8846
20070903,2.9081
20070904,2.9625
20070905,3.0903
20070906,3.2956
20070907,3.4738
20070910,3.8531
20070911,4.1363
20070912,4.2871
20070913,4.4456
20070914,4.6451
20070917,5.3337
20070918,5.8717
20070919,6.3635
20070920,7.0789
20070921,7.2733
20070924,7.1055
20070925,7.1711
20070926,7.0256
20070927,6.6504
20070928,3.4495
20070929,3.1827
20070930,3.1453
20071008,3.1782
20071009,3.2978
20071010,3.318
20071011,3.3874
20071012,3.4038
20071015,3.5668
20071016,3.7896
20071017,3.8122
20071018,4.5113
20071019,5.4258
20071022,7.2128
20071023,7.5053
20071024,7.4802
20071025,7.7742
20071026,8.8271
20071029,4.0065
20071030,4.2873
20071031,3.7134
20071101,3.8813
20071102,4.3229
20071105,4.5621
20071106,4.699
20071107,5.7794
20071108,5.7601
20071109,5.4863
20071112,5.3968
20071113,5.5011
20071114,5.5088
20071115,5.4853
20071116,5.3393
20071119,5.2143
20071120,5.0986
20071121,4.9957
20071122,4.7574
20071123,4.5771
20071126,4.2413
20071127,4.0948
20071128,4.0316
20071129,4.4768
20071130,4.5365
20071203,4.6047
20071204,4.8627
20071205,4.6646
20071206,4.6447
20071207,4.1427
20071210,4.1673
20071211,4.4289
20071212,4.7914
20071213,4.7326
20071214,4.6057
20071217,4.347
20071218,4.2634
20071219,4.0395
20071220,3.7146
20071221,3.5026
20071224,3.2342
20071225,3.1323
20071226,3.1381
20071227,3.1419
20071228,3.1511
20071229,3.6136
20080102,3.6792
20080103,3.4737
20080104,3.3918
20080107,3.3197
20080108,3.3025
20080109,3.3371
20080110,3.3555
20080111,3.3419
20080114,3.3041
20080115,3.343
20080116,3.4424
20080117,3.6397
20080118,3.566
20080121,3.9284
20080122,4.077
20080123,4.0967
20080124,4.0344
20080125,4.0176
20080128,4.0158
20080129,3.9653
20080130,3.6533
20080131,3.5386
20080201,3.4674
20080202,3.3605
20080203,3.3071
20080204,3.2063
20080205,3.1267
20080213,3.1976
20080214,3.125
20080215,3.0941
20080218,3.1884
20080219,3.6029
20080220,3.7982
20080221,3.8795
20080222,3.9457
20080225,3.9834
20080226,3.9815
20080227,3.8279
20080228,3.7197
20080229,3.5356
20080303,3.3483
20080304,3.2489
20080305,3.2507
20080306,3.1744
20080307,3.1091
20080310,3.2005
20080311,3.1854
20080312,3.156
20080313,3.1395
20080314,3.1649
20080317,3.2046
20080318,3.2108
20080319,3.2156
20080320,3.2145
20080321,3.2093
20080324,3.2139
20080325,3.2302
20080326,3.2339
20080327,3.2366
20080328,3.2766
20080331,3.2957
20080401,3.3039
20080402,3.3183
20080403,3.3685
20080407,3.5117
20080408,3.6742
20080409,3.6677
20080410,3.7118
20080411,3.4565
20080414,3.3577
20080415,3.3558
20080416,3.3292
20080417,3.3047
20080418,3.271
20080421,3.2817
20080422,3.2896
20080423,3.2598
20080424,3.304
20080425,3.3327
20080428,3.3679
20080429,3.4133
20080430,3.434
20080504,3.419
20080505,3.412
20080506,3.4105
20080507,3.4713
20080508,3.4933
20080509,3.4339
20080512,3.4259
20080513,3.6789
20080514,3.6541
20080515,3.6595
20080516,3.6763
20080519,3.7351
20080520,3.7404
20080521,3.6783
20080522,3.6852
20080523,3.5212
20080526,3.5411
20080527,3.5788
20080528,3.5978
20080529,3.6019
20080530,3.544
20080602,3.4924
20080603,3.5461
20080604,3.5858
20080605,3.5279
20080606,3.5099
20080610,4.1952
20080611,4.3414
20080612,4.232
20080613,4.1022
20080616,4.0774
20080617,3.9919
20080618,3.9692
20080619,3.9599
20080620,3.9841
20080623,3.7201
20080624,3.7007
20080625,3.7278
20080626,3.7128
20080627,3.7548
20080630,3.7352
20080701,3.7256
20080702,3.7508
20080703,3.698
20080704,3.5999
20080707,3.4152
20080708,3.3925
20080709,3.3295
20080710,3.3229
20080711,3.2768
20080714,3.3013
20080715,3.2592
20080716,3.3351
20080717,3.2694
20080718,3.2441
20080721,3.2841
20080722,3.3059
20080723,3.2619
20080724,3.2478
20080725,3.2291
20080728,3.2668
20080729,3.4269
20080730,3.3861
20080731,3.3677
20080801,3.3895
20080804,3.5291
20080805,3.6288
20080806,3.4906
20080807,3.4286
20080808,3.3467
20080811,3.3615
20080812,3.3063
20080813,3.2729
20080814,3.2533
20080815,3.2588
20080818,3.3776
20080819,3.396
20080820,3.2844
20080821,3.2561
20080822,3.2595
20080825,3.2504
20080826,3.2325
20080827,3.2221
20080828,3.2168
20080829,3.2167
20080901,3.2426
20080902,3.2262
20080903,3.2158
20080904,3.2127
20080905,3.2153
20080908,3.2099
20080909,3.204
20080910,3.2215
20080911,3.2076
20080912,3.2034
20080916,3.2149
20080917,3.2037
20080918,3.2842
20080919,3.3653
20080922,3.7054
20080923,3.8342
20080924,3.7972
20080925,3.6968
20080926,3.5445
20080927,3.4513
20080928,3.467
20081006,3.4062
20081007,3.4013
20081008,3.4133
20081009,3.4074
20081010,3.317
20081013,3.2679
20081014,3.2766
20081015,3.1824
20081016,3.1437
